Id,title,distributor,Genre,leadActor,Actor popularity,director,Director popularity,Sentiment,num_theaters,runtime_mins,releaseYear,CULT_INDEX,CPI,prod_budget_ADJ,rev_totalGross_ADJ
3407,Passion of Mind,Paramount Classics,Romance,Demi Moore,5.04487,Alain Berliner,1.000025,1,104,105,2000,1.33E-07,172.2,250706.0903,2016056.791
3463,What Planet Are You From?,Sony / Columbia,Sci-Fi Comedy,Garry Shandling,2.213582,Mike Nichols,2.631051,1,2248,107,2000,3.09E-10,172.2,82926829.27,16488611.23
3203,Eye of the Beholder,Destination,Thriller,Ewan McGregor,6.312465,Stephan Elliott,1.000034,1,1751,109,2000,2.65E-10,172.2,48373983.74,43244160.29
3396,Miss Congeniality,Warner Bros.,Action Comedy,Sandra Bullock,8.791962,Donald Petrie,1.194806,1,2668,109,2000,3.97E-10,172.2,62195121.95,279914415.7
3437,Shanghai Noon,Buena Vista,Western Comedy,Jackie Chan,9.499882,Tom Dey,1.000001,1,2711,110,2000,8.62E-11,172.2,76016260.16,149218010.8
3363,Girlfight,Sony / Screen Gems,Sports Drama,Michelle Rodriguez,8.525647,Karyn Kusama,1.04089,1,28,110,2000,1.43E-06,172.2,510312.2976,4103680.569
3471,Wonder Boys,Paramount,Comedy / Drama,Michael Douglas,7.513336,Curtis Hanson,1.745608,1,1253,111,2000,4.59E-10,172.2,76016260.16,50825341.74
3339,Center Stage,Sony / Columbia,Music Drama,Amanda Schull,3.119031,Nicholas Hytner,1.013045,1,1506,115,2000,5.39E-10,172.2,40081300.81,45079037.92
3427,Romeo Must Die,Warner Bros.,Action,Jet Li,5.698642,Andrzej Bartkowiak,1.113847,1,2641,115,2000,6.53E-11,172.2,34552845.53,146691188.8
3458,Up at the Villa,USA Films,Period Drama,Kristin Scott Thomas,16.894795,Philip Haas,1.000157,1,89,115,2000,2.85E-07,172.2,955919.3348,7687032.874
3405,The Original Kings of Comedy,Paramount,Concert,stand-up comedy of Steve Harvey,1.515749,Spike Lee,3.296902,1,847,115,2000,3.69E-10,172.2,17967479.67,100066911.4
3424,Return to Me,MGM,Romantic Comedy,Minnie Driver,4.793111,Bonnie Hunt,5.558758,1,2007,116,2000,2.67E-10,172.2,33170731.71,85757728.26
3412,Pollock,Sony Classics,Drama,Ed Harris,9.482665,Ed Harris,9.057137,1,2,117,2000,0.002196284668,172.2,2802289.246,22534619.5
3413,Price of Glory,New Line,Sports Drama,Jimmy Smits,3.42767,Carlos Avila,1,1,802,117,2000,1.65E-09,172.2,24878048.78,9015920.276
3313,All the Pretty Horses,Miramax,Western,Matt Damon,9.070976,Billy Bob Thornton,7.839628,1,1483,117,2000,6.15E-09,172.2,78780487.8,40727121.49
3461,The Way of the Gun,Artisan,Action / Crime,Benicio del Toro,7.10169,Christopher McQuarrie,5.464695,1,1515,119,2000,8.64E-10,172.2,117479674.8,15870272.78
3417,Quills,Fox Searchlight,Period Drama,Geoffrey Rush,7.94959,Philip Kaufman,3.394366,1,9,124,2000,1.26E-05,172.2,2302597.775,18516351.25
3356,The Family Man,Universal,Fantasy Comedy,Nicolas Cage,8.431094,Brett Ratner,2.838137,1,2388,126,2000,2.85E-10,172.2,82926829.27,198634042.7
3436,Shaft,Paramount,Action,Samuel L. Jackson,15.183466,John Singleton,2.051703,1,2337,127,2000,6.38E-11,172.2,63577235.77,184327336.1
3429,Rules of Engagement,Paramount,Drama / Thriller,Tommy Lee Jones,9.803711,William Friedkin,2.617655,1,3155,127,2000,8.63E-11,172.2,82926829.27,160743283.2
3444,Space Cowboys,Warner Bros.,Action Thriller,Clint Eastwood,7.528723,Clint Eastwood,9.257473,1,2805,130,2000,9.85E-11,172.2,89837398.37,237084048.2
3462,What Lies Beneath,DreamWorks,Horror,Harrison Ford,12.753239,Robert Zemeckis,4.187753,1,2813,130,2000,6.26E-11,172.2,138211382.1,407430610.5
3353,Erin Brockovich,Universal,Drama,Julia Roberts,8.000752,Steven Soderbergh,3.673298,1,2848,130,2000,5.57E-11,172.2,71869918.7,329151543.2
3415,Proof of Life,Warner Bros.,Romantic Thriller,Russell Crowe,7.017846,Taylor Hackford,2.573579,1,2705,135,2000,1.16E-10,172.2,89837398.37,85433105.88
3321,Bamboozled,New Line,Comedy,Damon Wayans,3.666839,Spike Lee,3.296902,1,17,136,2000,3.68E-06,172.2,66341463.41,5962113.352
3336,Cast Away,Fox,Drama,Tom Hanks,11.108529,Robert Zemeckis,4.187753,1,2774,143,2000,1.01E-10,172.2,124390243.9,612287547.8
3454,Traffic,USA Films,Crime Drama,Michael Douglas,6.125826,Steven Soderbergh,3.673298,1,1740,147,2000,9.64E-17,172.2,40408268.88,325274220.6
1896,Gladiator,DreamWorks,Historical Epic,Cuba Gooding,3.614902,Rowdy Herrington,1.040837,1,2938,155,2000,5.27E-11,172.2,142357723.6,491925873.8
3543,Jimmy Neutron: Boy Genius,Paramount,Animation,Megan Cavanagh,1.000014,John A. Davis,1.000039,-1,3139,82,2001,1.35E-10,177.1,40316205.53,189994707.6
3485,The Animal,Sony (Revolution),Comedy,Rob Schneider,3.373617,Luke Greenfield,1.000185,-1,2788,83,2001,5.39E-11,177.1,63162055.34,135549628.5
3501,The Business of Strangers,IFC,Drama,Julia Stiles,5.271461,Patrick Stettner,1.093213,-1,8,84,2001,2.50E-05,177.1,300944.2705,2420045.252
3577,On the Line,Miramax,Romantic Comedy,Lance Bass,1.023146,Eric Bross,1.000116,-1,900,86,2001,9.11E-10,177.1,21501976.28,10247738.57
3512,Dr. Dolittle 2,Fox,Family Comedy,Eddie Murphy,6.557699,Steve Carr,2.26921,-1,3049,87,2001,5.91E-11,177.1,94071146.25,265152608.2
3520,Freddy Got Fingered,Fox,Comedy,Tom Green,1.095027,Tom Green,1.005191,-1,2271,87,2001,1.25E-10,177.1,18814229.25,33463050.6
