Id,title,distributor,Genre,leadActor,Actor popularity,director,Director popularity,Sentiment,rev_totalGross,rev_opening,num_theaters,runtime,rev_postOpening,runtime_mins,releaseYear,rev_opening_ADJ,rev_totalGross_ADJ,CPI,prod_budget_ADJ,CULT_INDEX
3318,Autumn in New York,MGM,Romance,Richard Gere,5.650504,Joan Chen,3.190981,0,61131552.96,10987006,2255,1 hrs. 44 min.,81177398.67,104,2000,17786511.6,98963910.27,172.2,89837398.37,1.39E-10
3310,28 Days,Sony / Columbia,Comedy / Drama,Sandra Bullock,7.895502,Betty Thomas,2.061481,-1,60174110.76,10310672,2523,1 hrs. 43 min.,80722321.62,103,2000,16691616.18,97413937.8,172.2,59430894.31,1.39E-10
3388,Lost Souls,New Line,Horror,Winona Ryder,11.174329,Janusz Kamiński,1.662745,0,27221673.72,7954766,1970,1 hrs. 37 min.,31190578.92,97,2000,12877715.52,44068294.44,172.2,69105691.06,1.35E-10
3422,The Replacements,Warner Bros.,Sports Comedy,Keanu Reeves,20.75785,Howard Deutch,2.558585,-1,72423389.85,11039214,2754,1 hrs. 58 min.,99372873.36,118,2000,17871029.46,117243902.8,172.2,69105691.06,1.33E-10
3329,Bless the Child,Paramount,Horror Thriller,Kim Basinger,4.327814,Chuck Russell,2.202762,-1,47564758.21,9413684,2524,1 hrs. 47 min.,61761550.33,107,2000,15239511.08,77001061.41,172.2,89837398.37,1.31E-10
3393,Men of Honor,Fox,Period Drama,Robert De Niro,12.722473,"George Tillman, Jr.",1.325389,-1,79031385.32,13339465,2092,2 hrs. 9 min.,106346542.7,129,2000,21594832.02,127941374.7,172.2,44227642.28,1.31E-10
3460,The Watcher,Universal,Thriller,James Spader,3.971583,Joe Charbanic,1.001084,-1,46860746.55,9062295,2742,1 hrs. 37 min.,61190700.81,97,2000,14670658.7,75861359.5,172.2,41463414.63,1.29E-10
3459,Vertical Limit,Sony / Columbia,Action,Chris O Donnell,3.314571,Martin Campbell,1.907072,-1,112096662.3,15507845,2307,2 hrs. 4 min.,156364538.2,124,2000,25105152.85,181469691.1,172.2,103658536.6,1.25E-10
3438,The Skulls,Universal,Thriller,Joshua Jackson,2.814901,Rob Cohen,2.814906,-1,56735039.55,11034885,2412,1 hrs. 47 min.,73982514.34,107,2000,17864021.38,91846535.72,172.2,48373983.74,1.19E-10
3350,"Dude, Where s My Car?",Fox,Comedy,Ashton Kutcher,4.258537,Danny Leiner,1.000034,0,75649374.34,13845914,2087,1 hrs. 23 min.,100051639.6,83,2000,22414706.06,122466345.6,172.2,17967479.67,1.17E-10
3415,Proof of Life,Warner Bros.,Romantic Thriller,Russell Crowe,7.017846,Taylor Hackford,2.573579,1,52773363.77,10207869,2705,2 hrs. 15 min.,68907914.17,135,2000,16525191.7,85433105.88,172.2,89837398.37,1.16E-10
3383,The Legend of Bagger Vance,DreamWorks,Sports Drama,Matt Damon,9.690772,Robert Redford,7.203566,-1,50054049.33,11516712,2061,2 hrs. 7 min.,62386859.3,127,2000,18644035.65,81030894.95,172.2,110569105.7,1.13E-10
3426,Road Trip,DreamWorks,Comedy,Breckin Meyer,1.274961,Todd Phillips,1.678472,0,110958465.4,15484004,2530,1 hrs. 34 min.,154560543.2,94,2000,25066557.42,179627100.6,172.2,22113821.14,1.13E-10
